name,instance_id,n_vars,n_clauses,status,solver,time_sec,decisions,conflicts,learned,proof_size,proof_depth
tauto(p -> p),0,1,0,PROVED,NeuroProof+ATSS,0.00011809999887191225,0,0,0,2,1
tauto(p -> p),1,1,0,PROVED,NeuroProof-noATSS,4.529999932856299e-05,0,0,0,2,1
tauto((p -> q) -> (q -> r) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,0.0027554999996937113,0,0,0,5,4
tauto((p -> q) -> (q -> r) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,0.0004186000005574897,0,0,0,5,4
tauto((p & q) -> p),0,2,0,PROVED,NeuroProof+ATSS,4.670000089390669e-05,0,0,0,3,2
tauto((p & q) -> p),1,2,0,PROVED,NeuroProof-noATSS,4.040000021632295e-05,0,0,0,3,2
tauto((p & q) -> q),0,2,0,PROVED,NeuroProof+ATSS,0.00018040000031760428,0,0,0,3,2
tauto((p & q) -> q),1,2,0,PROVED,NeuroProof-noATSS,0.00016800000048533548,0,0,0,3,2
tauto(p -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,6.140000004961621e-05,0,0,0,4,3
tauto(p -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,5.6599999879836105e-05,0,0,0,4,3
tauto(p -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,5.999999848427251e-05,0,0,0,4,3
tauto(p -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,5.6200000472017564e-05,0,0,0,4,3
tauto(q -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,3.909999941242859e-05,0,0,0,5,4
tauto(q -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,3.580000156944152e-05,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,0.0010331999983463902,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,0.00046239999937824905,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,6.529999882332049e-05,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,5.400000009103678e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,7.709999954386149e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,7.259999983943999e-05,0,0,0,5,4
tauto((p <-> q) -> (q <-> p)),0,2,0,PROVED,NeuroProof+ATSS,0.0001007999999274034,0,0,0,10,5
tauto((p <-> q) -> (q <-> p)),1,2,0,PROVED,NeuroProof-noATSS,9.619999946153257e-05,0,0,0,10,5
tauto(((p | q) & ~p) -> q),0,2,0,PROVED,NeuroProof+ATSS,5.6200000472017564e-05,0,0,0,4,3
tauto(((p | q) & ~p) -> q),1,2,0,PROVED,NeuroProof-noATSS,5.1900000471505336e-05,0,0,0,4,3
tauto(p | ~p),0,1,0,PROVED,NeuroProof+ATSS,3.0399998649954796e-05,0,0,0,3,2
tauto(p | ~p),1,1,0,PROVED,NeuroProof-noATSS,2.660000063769985e-05,0,0,0,3,2
tauto(~(p & ~p)),0,1,0,PROVED,NeuroProof+ATSS,3.35000004270114e-05,0,0,0,4,3
tauto(~(p & ~p)),1,1,0,PROVED,NeuroProof-noATSS,2.8200000087963417e-05,0,0,0,4,3
tauto((p -> q) -> (~q -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,7.430000005115289e-05,0,0,0,6,5
tauto((p -> q) -> (~q -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,7.050000021990854e-05,0,0,0,6,5
atss_learning_curve,0,1,20,PROVED,NeuroProof+ATSS,8.059999890974723e-05,20,0,0,0,100
atss_learning_curve,1,4,20,PROVED,NeuroProof+ATSS,0.0004476999984035501,20,0,0,0,100
