name,instance_id,n_vars,n_clauses,status,solver,time_sec,decisions,conflicts,learned,proof_size,proof_depth
tauto(p -> p),0,1,0,PROVED,NeuroProof+ATSS,0.00012009999954898376,0,0,0,2,1
tauto(p -> p),1,1,0,PROVED,NeuroProof-noATSS,4.749999970954377e-05,0,0,0,2,1
tauto((p -> q) -> (q -> r) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,0.0012781000004906673,0,0,0,5,4
tauto((p -> q) -> (q -> r) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,0.0004253999995853519,0,0,0,5,4
tauto((p & q) -> p),0,2,0,PROVED,NeuroProof+ATSS,4.9199999921256676e-05,0,0,0,3,2
tauto((p & q) -> p),1,2,0,PROVED,NeuroProof-noATSS,5.259999852569308e-05,0,0,0,3,2
tauto((p & q) -> q),0,2,0,PROVED,NeuroProof+ATSS,0.00023329999930865597,0,0,0,3,2
tauto((p & q) -> q),1,2,0,PROVED,NeuroProof-noATSS,0.00027240000054007396,0,0,0,3,2
tauto(p -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,7.349999941652641e-05,0,0,0,4,3
tauto(p -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,5.839999903400894e-05,0,0,0,4,3
tauto(p -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,7.15000005584443e-05,0,0,0,4,3
tauto(p -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,5.9100000726175494e-05,0,0,0,4,3
tauto(q -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,4.3000000005122274e-05,0,0,0,5,4
tauto(q -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,3.9200000173877925e-05,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,0.00048379999861936085,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,0.00047500000073341653,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,9.019999924930744e-05,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,5.5700000302749686e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,7.31999989511678e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,6.939999911992345e-05,0,0,0,5,4
tauto((p <-> q) -> (q <-> p)),0,2,0,PROVED,NeuroProof+ATSS,9.7400001322967e-05,0,0,0,10,5
tauto((p <-> q) -> (q <-> p)),1,2,0,PROVED,NeuroProof-noATSS,9.890000001178123e-05,0,0,0,10,5
tauto(((p | q) & ~p) -> q),0,2,0,PROVED,NeuroProof+ATSS,5.3899999329587445e-05,0,0,0,4,3
tauto(((p | q) & ~p) -> q),1,2,0,PROVED,NeuroProof-noATSS,4.9700000090524554e-05,0,0,0,4,3
tauto(p | ~p),0,1,0,PROVED,NeuroProof+ATSS,3.0399998649954796e-05,0,0,0,3,2
tauto(p | ~p),1,1,0,PROVED,NeuroProof-noATSS,2.620000122988131e-05,0,0,0,3,2
tauto(~(p & ~p)),0,1,0,PROVED,NeuroProof+ATSS,3.290000131528359e-05,0,0,0,4,3
tauto(~(p & ~p)),1,1,0,PROVED,NeuroProof-noATSS,2.9999999242136255e-05,0,0,0,4,3
tauto((p -> q) -> (~q -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,0.00012959999912709463,0,0,0,6,5
tauto((p -> q) -> (~q -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,7.249999907799065e-05,0,0,0,6,5
ablation_easy,0,20,40,SAT,NeuroProof,0.000590899999224348,9,0,0,0,0
ablation_easy,0,20,40,SAT,DPLL-Baseline,0.00043599999844445847,8,0,0,0,0
ablation_easy,0,20,40,SAT,Glucose4,0.0006618000006710645,0,0,0,0,0
ablation_easy,1,20,40,SAT,NeuroProof,0.0005131000016262988,9,0,0,0,0
ablation_easy,1,20,40,SAT,DPLL-Baseline,0.000537899999471847,12,0,0,0,0
ablation_easy,1,20,40,SAT,Glucose4,0.0006417000004148576,0,0,0,0,0
ablation_easy,2,20,40,SAT,NeuroProof,0.0005321999997249804,7,0,0,0,0
