name,instance_id,n_vars,n_clauses,status,solver,time_sec,decisions,conflicts,learned,proof_size,proof_depth
tauto(p -> p),0,1,0,PROVED,NeuroProof+ATSS,0.00010840000322787091,0,0,0,2,1
tauto(p -> p),1,1,0,PROVED,NeuroProof-noATSS,4.27999984822236e-05,0,0,0,2,1
tauto((p -> q) -> (q -> r) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,0.0009648000050219707,0,0,0,5,4
tauto((p -> q) -> (q -> r) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,0.0004087000052095391,0,0,0,5,4
tauto((p & q) -> p),0,2,0,PROVED,NeuroProof+ATSS,4.340000305091962e-05,0,0,0,3,2
tauto((p & q) -> p),1,2,0,PROVED,NeuroProof-noATSS,3.6600002204068005e-05,0,0,0,3,2
tauto((p & q) -> q),0,2,0,PROVED,NeuroProof+ATSS,0.0001632999992580153,0,0,0,3,2
tauto((p & q) -> q),1,2,0,PROVED,NeuroProof-noATSS,0.00015269999857991934,0,0,0,3,2
tauto(p -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,5.4299998737405986e-05,0,0,0,4,3
tauto(p -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,5.0499998906161636e-05,0,0,0,4,3
tauto(p -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,5.450000026030466e-05,0,0,0,4,3
tauto(p -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,5.080000119050965e-05,0,0,0,4,3
tauto(q -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,3.659999492811039e-05,0,0,0,5,4
tauto(q -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,3.3899996196851134e-05,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,0.00037709999742219225,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,0.0004138000003877096,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,5.529999907594174e-05,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,0.00016910000704228878,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,9.389999468112364e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,0.00013179999950807542,0,0,0,5,4
tauto((p <-> q) -> (q <-> p)),0,2,0,PROVED,NeuroProof+ATSS,0.00010130000009667128,0,0,0,10,5
tauto((p <-> q) -> (q <-> p)),1,2,0,PROVED,NeuroProof-noATSS,0.00018219999765278772,0,0,0,10,5
tauto(((p | q) & ~p) -> q),0,2,0,PROVED,NeuroProof+ATSS,5.43000060133636e-05,0,0,0,4,3
tauto(((p | q) & ~p) -> q),1,2,0,PROVED,NeuroProof-noATSS,4.7900000936351717e-05,0,0,0,4,3
tauto(p | ~p),0,1,0,PROVED,NeuroProof+ATSS,2.8200003725942224e-05,0,0,0,3,2
tauto(p | ~p),1,1,0,PROVED,NeuroProof-noATSS,2.3200002033263445e-05,0,0,0,3,2
tauto(~(p & ~p)),0,1,0,PROVED,NeuroProof+ATSS,3.290000313427299e-05,0,0,0,4,3
tauto(~(p & ~p)),1,1,0,PROVED,NeuroProof-noATSS,2.729999687289819e-05,0,0,0,4,3
tauto((p -> q) -> (~q -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,7.130000449251384e-05,0,0,0,6,5
tauto((p -> q) -> (~q -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,6.739999662386253e-05,0,0,0,6,5
