difficulty,alpha,solver,time_s,solve_rate,conflicts,decisions,learned,status,trial_id
Easy,2.0,CertiProof+ATSS,0.002707,1.0,100,112,100,SAT,0
Easy,2.0,CertiProof+ATSS,0.000197,1.0,0,9,0,SAT,1
Easy,2.0,CertiProof+ATSS,0.0002,1.0,0,11,0,SAT,2
Easy,2.0,CertiProof+ATSS,0.000228,1.0,0,10,0,SAT,3
Easy,2.0,CertiProof+ATSS,0.000178,1.0,0,9,0,SAT,4
Easy,2.0,CertiProof+ATSS,0.0002,1.0,0,9,0,SAT,5
Easy,2.0,CertiProof+ATSS,0.00019,1.0,0,10,0,SAT,6
Easy,2.0,CertiProof+ATSS,0.002421,1.0,100,122,100,SAT,7
Easy,2.0,CertiProof+ATSS,0.000186,1.0,0,10,0,SAT,8
Easy,2.0,CertiProof+ATSS,0.000199,1.0,0,10,0,SAT,9
Phase,4.3,CertiProof+ATSS,2.054227,0.0,50000,50001,50000,UNKNOWN,0
Phase,4.3,CertiProof+ATSS,1.035884,0.0,50000,50008,50000,UNKNOWN,1
Phase,4.3,CertiProof+ATSS,0.686557,0.0,50000,50003,50000,UNKNOWN,2
Phase,4.3,CertiProof+ATSS,0.003193,1.0,100,107,100,SAT,3
Phase,4.3,CertiProof+ATSS,0.69697,0.0,50000,50001,50000,UNKNOWN,4
Hard,6.0,CertiProof+ATSS,0.698739,0.0,50000,50001,50000,UNKNOWN,0
Hard,6.0,CertiProof+ATSS,2.695717,0.0,50000,50001,50000,UNKNOWN,1
Hard,6.0,CertiProof+ATSS,0.716856,0.0,50000,50002,50000,UNKNOWN,2
Hard,6.0,CertiProof+ATSS,0.711617,0.0,50000,50001,50000,UNKNOWN,3
Hard,6.0,CertiProof+ATSS,1.761041,0.0,50000,50003,50000,UNKNOWN,4
