name,instance_id,n_vars,n_clauses,status,solver,time_sec,decisions,conflicts,learned,proof_size,proof_depth
tauto(p -> p),0,1,0,PROVED,NeuroProof+ATSS,0.00012619999324670061,0,0,0,2,1
tauto(p -> p),1,1,0,PROVED,NeuroProof-noATSS,4.169999738223851e-05,0,0,0,2,1
tauto((p -> q) -> (q -> r) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,0.0016470000045956112,0,0,0,5,4
tauto((p -> q) -> (q -> r) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,0.0004687000036938116,0,0,0,5,4
tauto((p & q) -> p),0,2,0,PROVED,NeuroProof+ATSS,4.6099994506221265e-05,0,0,0,3,2
tauto((p & q) -> p),1,2,0,PROVED,NeuroProof-noATSS,3.6900004488416016e-05,0,0,0,3,2
tauto((p & q) -> q),0,2,0,PROVED,NeuroProof+ATSS,0.00016599999798927456,0,0,0,3,2
tauto((p & q) -> q),1,2,0,PROVED,NeuroProof-noATSS,0.00015750000602565706,0,0,0,3,2
tauto(p -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,5.750000127591193e-05,0,0,0,4,3
tauto(p -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,5.1700000767596066e-05,0,0,0,4,3
tauto(p -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,5.609999789157882e-05,0,0,0,4,3
tauto(p -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,5.220000457484275e-05,0,0,0,4,3
tauto(q -> (p | q)),0,2,0,PROVED,NeuroProof+ATSS,3.669999568955973e-05,0,0,0,5,4
tauto(q -> (p | q)),1,2,0,PROVED,NeuroProof-noATSS,3.359999391250312e-05,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,0.00038830000266898423,0,0,0,5,4
tauto((p -> q) -> ((p -> ~q) -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,0.0003614999950514175,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),0,2,0,PROVED,NeuroProof+ATSS,5.570000212173909e-05,0,0,0,5,4
tauto((~p -> ~q) -> (q -> p)),1,2,0,PROVED,NeuroProof-noATSS,5.1099996198900044e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),0,3,0,PROVED,NeuroProof+ATSS,6.949999806238338e-05,0,0,0,5,4
tauto(((p -> q) & (q -> r)) -> (p -> r)),1,3,0,PROVED,NeuroProof-noATSS,6.569999823113903e-05,0,0,0,5,4
tauto((p <-> q) -> (q <-> p)),0,2,0,PROVED,NeuroProof+ATSS,0.00013690000196220353,0,0,0,10,5
tauto((p <-> q) -> (q <-> p)),1,2,0,PROVED,NeuroProof-noATSS,0.00010140000085812062,0,0,0,10,5
tauto(((p | q) & ~p) -> q),0,2,0,PROVED,NeuroProof+ATSS,9.210000280290842e-05,0,0,0,4,3
tauto(((p | q) & ~p) -> q),1,2,0,PROVED,NeuroProof-noATSS,6.169999687699601e-05,0,0,0,4,3
tauto(p | ~p),0,1,0,PROVED,NeuroProof+ATSS,3.089999518124387e-05,0,0,0,3,2
tauto(p | ~p),1,1,0,PROVED,NeuroProof-noATSS,2.4900000425986946e-05,0,0,0,3,2
tauto(~(p & ~p)),0,1,0,PROVED,NeuroProof+ATSS,3.2099997042678297e-05,0,0,0,4,3
tauto(~(p & ~p)),1,1,0,PROVED,NeuroProof-noATSS,2.7800000680144876e-05,0,0,0,4,3
tauto((p -> q) -> (~q -> ~p)),0,2,0,PROVED,NeuroProof+ATSS,0.00012060000153724104,0,0,0,6,5
tauto((p -> q) -> (~q -> ~p)),1,2,0,PROVED,NeuroProof-noATSS,6.979999307077378e-05,0,0,0,6,5
atss_learning_curve,0,1,20,PROVED,NeuroProof+ATSS,7.879999611759558e-05,20,0,0,0,100
atss_learning_curve,1,4,20,PROVED,NeuroProof+ATSS,0.0005258000019239262,20,0,0,0,100
